ESTADO/PROVÍNCIA;PAÍS/REGIÃO;PAIS/ESTADO;LAT;LON;1 º DIA;2 º DIA;3 º DIA;4 º DIA;5 º DIA;6 º DIA;7 º DIA;8 º DIA;9 º DIA;10 º DIA;11 º DIA;12 º DIA;13 º DIA;14 º DIA;15 º DIA;16 º DIA;17 º DIA;18 º DIA;19 º DIA;20 º DIA;21 º DIA;22 º DIA;23 º DIA;24 º DIA;25 º DIA;26 º DIA;27 º DIA;28 º DIA;29 º DIA;30 º DIA;31 º DIA;32 º DIA;33 º DIA;34 º DIA;35 º DIA;36 º DIA;37 º DIA;38 º DIA;39 º DIA;40 º DIA;41 º DIA;42 º DIA;43 º DIA;44 º DIA;45 º DIA;46 º DIA;47 º DIA;48 º DIA;49 º DIA;50 º DIA;51 º DIA;52 º DIA;53 º DIA;54 º DIA;55 º DIA;56 º DIA;57 º DIA;58 º DIA;59 º DIA;60 º DIA;61 º DIA;62 º DIA;63 º DIA;64 º DIA;65 º DIA;66 º DIA;67 º DIA;68 º DIA;69 º DIA
;Bulgaria;Bulgaria;427.339;254.858;4;4;4;7;7;23;41;51;52;67;92;94;127;163;187;201;218;242;264;293;331;346;359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Burkina Faso;Burkina Faso;122.383;-15.616;1;2;2;2;2;3;15;15;20;33;40;64;75;99;114;146;152;180;207;222;246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cabo Verde;Cabo Verde;165.388;-230.418;1;3;3;3;3;4;4;5;5;6;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cambodia;Cambodia;11.55;1.049.167;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;3;3;5;7;7;7;33;35;37;51;53;84;87;91;96;96;99;99;103;107;;;;;
;Cameroon;Cameroon;720.699.395;115.021;1;1;2;2;2;2;2;2;2;2;4;10;10;13;20;27;40;56;66;75;75;91;91;139;139;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alberta;Canada;Canada - Alberta;539.333;-1.165.765;1;2;4;7;7;19;19;29;29;39;56;74;97;119;146;195;259;301;359;358;486;542;542;621;661;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
British Columbia;Canada;Canada - British Columbia;492.827;-1.231.207;1;1;1;1;1;1;1;1;2;2;4;4;4;4;4;4;4;4;4;4;5;5;5;5;6;6;6;6;7;7;7;7;8;8;8;9;12;13;21;21;27;32;32;39;46;64;64;73;103;103;186;231;271;424;424;472;617;617;725;725;884;884;970;;;;;;
Grand Princess;Canada;Canada - Grand Princess;376.489;-1.226.655;2;2;2;2;8;9;9;10;10;13;13;13;13;13;13;13;13;13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manitoba;Canada;Canada - Manitoba;537.609;-988.139;4;4;4;7;8;15;17;17;18;20;20;21;35;36;39;64;72;96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Brunswick;Canada;Canada - New Brunswick;465.653;-664.619;1;1;1;1;2;6;8;11;11;11;17;17;17;18;18;33;45;51;66;68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
